lock,scenario5_highway,CHECK_POINT = 10,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,
load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum
load,Previous,Previous,Previous,Previous,Previous,Previous
lock,scenario5_homearea_re,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,
load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum
load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed
1,772750,1250,630000,0.0746357,2.76871,2.84334
0.95,739735,1316,663159,0.0746477,2.76871,2.84336
0.9,703054,1389,700001,0.0746417,2.76871,2.84335
0.85,662057,1471,741177,0.0746566,2.76871,2.84337
0.8,615935,1563,787501,0.0746596,2.76871,2.84337
0.75,563665,1667,840001,0.0746506,2.76871,2.84336
0.7,503927,1786,900001,0.0746477,2.76871,2.84336
0.65,434998,1924,969232,0.0746715,2.76871,2.84338
0.6,354581,2084,1050001,0.0746596,2.76871,2.84337
0.55,259544,2273,1145455,0.0746447,2.76871,2.84335
0.5,145497,2501,1260002,0.0746656,2.76871,2.84338
0.45,28669,13112,1361468,0.296772,2.70736,3.00413
0.4,25184,75675,1301601,1.74289,2.30314,4.04604
0.35,19172,155316,1223825,3.15444,1.90386,5.05829
0.3,4369,255402,1139861,4.4931,1.51898,6.01208
0.25,8277,383202,1010001,5.64786,1.12049,6.76835
,,,,,,
